pathway,dimension,weight
fast,d2,3.337217e-05
fast,d2,-0.00027643674
fast,d2,0.0018840642
fast,d2,-0.00025594517
fast,d2,-0.006118364
fast,d2,-0.0029505782
fast,d2,0.00014440021
fast,d2,-0.00042205874
fast,d2,-0.029217348
fast,d2,-0.00045964046
fast,d2,0.00081719866
fast,d2,0.00014766195
fast,d2,0.0004937893
fast,d2,0.0011808294
fast,d2,-0.0012822716
fast,d2,-0.0008630593
fast,d2,0.003692899
fast,d2,-0.0014324946
fast,d2,0.0002161272
fast,d2,0.0015387326
fast,d2,-0.00020514367
fast,d2,0.0010408175
fast,d2,-0.00033121402
fast,d2,-0.0017333783
fast,d2,-0.0017121115
fast,d2,-0.00043850072
fast,d2,0.00446536
fast,d2,0.0010582362
fast,d2,-3.1630334e-05
fast,d2,-0.00029089814
fast,d2,0.0051488946
fast,d2,0.00079241424
fast,d2,0.00043162925
fast,d2,-5.8415113e-05
fast,d2,-1.8156134e-05
fast,d2,0.00013793941
fast,d2,-0.01251928
fast,d2,-0.010477239
fast,d2,-0.0008848688
fast,d2,-0.00047426036
fast,d2,0.0005463696
fast,d2,0.0002808506
fast,d2,0.0019375655
fast,d2,-0.0008372737
fast,d2,-0.0059021995
fast,d2,-0.0029189577
fast,d2,-0.00038988664
fast,d2,-0.0009496549
fast,d2,-0.13062043
fast,d2,-0.00066572963
fast,d2,0.0009799018
fast,d2,-0.0002078042
fast,d2,-4.5529683e-05
fast,d2,0.0006669811
fast,d2,-0.001530584
fast,d2,0.00050016644
fast,d2,0.0032332505
fast,d2,0.0009990018
fast,d2,-0.0011159228
fast,d2,0.0013367124
fast,d2,0.0010306599
fast,d2,-0.00022106367
fast,d2,0.0007272813
fast,d2,0.0001090398
fast,d2,-6.832855e-05
fast,d2,-0.00021882076
fast,d2,0.00614997
fast,d2,-0.00011167971
fast,d2,-6.745728e-05
fast,d2,0.00017704704
fast,d2,0.0051913173
fast,d2,-0.0031095587
fast,d2,0.00045193004
fast,d2,-0.00024157076
fast,d2,-0.00041536632
fast,d2,-0.00044001616
fast,d2,-0.014007776
fast,d2,-0.006028669
fast,d2,0.0011574806
fast,d2,0.0007448195
fast,d2,-0.00019097782
fast,d2,0.0005732722
fast,d2,0.0015397869
fast,d2,-0.00024173112
fast,d2,-0.0044187405
fast,d2,-0.0073254
fast,d2,-0.00036677494
fast,d2,0.0005850728
fast,d2,-0.023655469
fast,d2,-0.00094350334
fast,d2,-0.00029482122
fast,d2,-6.0108316e-05
fast,d2,-0.0003164739
fast,d2,2.0116277e-05
fast,d2,-0.0012663656
fast,d2,-5.776911e-05
fast,d2,0.0033341418
fast,d2,-6.946093e-05
fast,d2,-0.00070228614
fast,d2,-4.08318e-05
fast,d2,-0.0001128118
fast,d2,-0.00019068543
fast,d2,0.0015873262
fast,d2,0.00021461594
fast,d2,0.00015020004
fast,d2,-0.0006765259
fast,d2,0.0053581498
fast,d2,0.00032020567
fast,d2,-0.0005117134
fast,d2,0.0003001357
fast,d2,0.0032411388
fast,d2,-0.00071762636
fast,d2,-0.00036222406
fast,d2,-0.00022269698
fast,d2,-0.00083616294
fast,d2,-0.00014423707
fast,d2,-0.012935783
